tty0 4:0
tty1 4:1
tty2 4:2
tty3 4:3
tty4 4:4
tty5 4:5
tty6 4:6
tty7 4:7
tty8 4:8
tty9 4:9
tty10 4:10
tty11 4:11
tty12 4:12
tty13 4:13
tty14 4:14
tty15 4:15
tty16 4:16
tty17 4:17
tty18 4:18
tty19 4:19
tty20 4:20
tty21 4:21
tty22 4:22
tty23 4:23
tty24 4:24
tty25 4:25
tty26 4:26
tty27 4:27
tty28 4:28
tty29 4:29
tty30 4:30
tty31 4:31
tty32 4:32
tty33 4:33
tty34 4:34
tty35 4:35
tty36 4:36
tty37 4:37
tty38 4:38
tty39 4:39
tty40 4:40
tty41 4:41
tty42 4:42
tty43 4:43
tty44 4:44
tty45 4:45
tty46 4:46
tty47 4:47
tty48 4:48
tty49 4:49
tty50 4:50
tty51 4:51
tty52 4:52
tty53 4:53
tty54 4:54
tty55 4:55
tty56 4:56
tty57 4:57
tty58 4:58
tty59 4:59
tty60 4:60
tty61 4:61
tty62 4:62
tty63 4:63
ttyS191 4:255
ttyS190 4:254
ttyS189 4:253
ttyS188 4:252
ttyS187 4:251
ttyS186 4:250
ttyS185 4:249
ttyS184 4:248
ttyS183 4:247
ttyS182 4:246
ttyS181 4:245
ttyS180 4:244
ttyS179 4:243
ttyS178 4:242
ttyS177 4:241
ttyS176 4:240
ttyS175 4:239
ttyS174 4:238
ttyS173 4:237
ttyS172 4:236
ttyS171 4:235
ttyS170 4:234
ttyS169 4:233
ttyS168 4:232
ttyS167 4:231
ttyS166 4:230
ttyS165 4:229
ttyS164 4:228
ttyS163 4:227
ttyS162 4:226
ttyS161 4:225
ttyS160 4:224
ttyS159 4:223
ttyS158 4:222
ttyS157 4:221
ttyS156 4:220
ttyS155 4:219
ttyS154 4:218
ttyS153 4:217
ttyS152 4:216
ttyS151 4:215
ttyS150 4:214
ttyS149 4:213
ttyS148 4:212
ttyS147 4:211
ttyS146 4:210
ttyS145 4:209
ttyS144 4:208
ttyS143 4:207
ttyS142 4:206
ttyS141 4:205
ttyS140 4:204
ttyS139 4:203
ttyS138 4:202
ttyS137 4:201
ttyS136 4:200
ttyS135 4:199
ttyS134 4:198
ttyS133 4:197
ttyS132 4:196
ttyS131 4:195
ttyS130 4:194
ttyS129 4:193
ttyS128 4:192
ttyS127 4:191
ttyS126 4:190
ttyS125 4:189
ttyS124 4:188
ttyS123 4:187
ttyS122 4:186
ttyS121 4:185
ttyS120 4:184
ttyS119 4:183
ttyS118 4:182
ttyS117 4:181
ttyS116 4:180
ttyS115 4:179
ttyS114 4:178
ttyS113 4:177
ttyS112 4:176
ttyS111 4:175
ttyS110 4:174
ttyS109 4:173
ttyS108 4:172
ttyS107 4:171
ttyS106 4:170
ttyS105 4:169
ttyS104 4:168
ttyS103 4:167
ttyS102 4:166
ttyS101 4:165
ttyS100 4:164
ttyS99 4:163
ttyS98 4:162
ttyS97 4:161
ttyS96 4:160
ttyS95 4:159
ttyS94 4:158
ttyS93 4:157
ttyS92 4:156
ttyS91 4:155
ttyS90 4:154
ttyS89 4:153
ttyS88 4:152
ttyS87 4:151
ttyS86 4:150
ttyS85 4:149
ttyS84 4:148
ttyS83 4:147
ttyS82 4:146
ttyS81 4:145
ttyS80 4:144
ttyS79 4:143
ttyS78 4:142
ttyS77 4:141
ttyS76 4:140
ttyS75 4:139
ttyS74 4:138
ttyS73 4:137
ttyS72 4:136
ttyS71 4:135
ttyS70 4:134
ttyS69 4:133
ttyS68 4:132
ttyS67 4:131
ttyS66 4:130
ttyS65 4:129
ttyS64 4:128
ttyS63 4:127
ttyS62 4:126
ttyS61 4:125
ttyS60 4:124
ttyS59 4:123
ttyS58 4:122
ttyS57 4:121
ttyS56 4:120
ttyS55 4:119
ttyS54 4:118
ttyS53 4:117
ttyS52 4:116
ttyS51 4:115
ttyS50 4:114
ttyS49 4:113
ttyS48 4:112
ttyS47 4:111
ttyS46 4:110
ttyS45 4:109
ttyS44 4:108
ttyS43 4:107
ttyS42 4:106
ttyS41 4:105
ttyS40 4:104
ttyS39 4:103
ttyS38 4:102
ttyS37 4:101
ttyS36 4:100
ttyS35 4:99
ttyS34 4:98
ttyS33 4:97
ttyS32 4:96
ttyS31 4:95
ttyS30 4:94
ttyS29 4:93
ttyS28 4:92
ttyS27 4:91
ttyS26 4:90
ttyS25 4:89
ttyS24 4:88
ttyS23 4:87
ttyS22 4:86
ttyS21 4:85
ttyS20 4:84
ttyS19 4:83
ttyS18 4:82
ttyS17 4:81
ttyS16 4:80
ttyS15 4:79
ttyS14 4:78
ttyS13 4:77
ttyS12 4:76
ttyS11 4:75
ttyS10 4:74
ttyS9 4:73
ttyS8 4:72
ttyS7 4:71
ttyS6 4:70
ttyS5 4:69
ttyS4 4:68
ttyS3 4:67
ttyS2 4:66
ttyS1 4:65
ttyS0 4:64
